stack_index,layer_name,content_resource,mask_resource,source_x,source_y,source_width,source_height,face_x,face_y,face_width,face_height,visible,locked,anatomical_side,canonical_slot,canonical_semantic_state,source_candidate,classification,confidence,direct_generic_reuse,reason
0,00_BASE_REFERENCE_LOCKED,04e5bc614ea1.png,,1019,499,1187,1484,0,0,1187,1484,true,true,,BASE_HEAD,NEUTRAL,,reference_only,high,PROHIBITED,Pinned Marcus identity/base reference; never generic runtime art.
1,10_FULL_FACE_PUFFED_CHEEKS_01,4926af08417c.png,fa41b4d648f0.webp,1317,795,615,818,298,296,615,818,false,false,,MACRO_OVERRIDE,PUFFED_CHEEKS,,semantic_exemplar,high,PROHIBITED,Semantic exemplar for the macro concept; pixels remain identity-bound.
2,20_UPPER_FACE_LEFT_BROW_FURROW_CENTER_DEEP_01,6ff8b7f846d4.png,,1548,804,363,304,529,305,363,304,false,false,LEFT,BROW_L,FURROW_CENTER_DEEP,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
3,20_UPPER_FACE_LEFT_BROW_FURROW_ANGLED_01,f92084464fad.png,,1584,804,344,291,565,305,344,291,false,false,LEFT,BROW_L,,FURROW_ANGLED,future_variant,unresolved,PROHIBITED,Source-only brow candidate outside the frozen v0.1 catalog.
4,20_UPPER_FACE_LEFT_BROW_ANGRY_ARCHED_01,37af95f94bda.png,,1611,847,295,274,592,348,295,274,false,false,LEFT,BROW_L,ANGRY_ARCHED,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
5,20_UPPER_FACE_LEFT_BROW_LOW_FLAT_01,9339816b4740.png,,1363,800,541,344,344,301,541,344,false,false,LEFT,BROW_L,LOW_FLAT,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
6,20_UPPER_FACE_LEFT_BROW_NEUTRAL_WRINKLED_01,543fa5dd48fb.png,,1596,769,316,298,577,270,316,298,false,false,LEFT,BROW_L,NEUTRAL,,semantic_exemplar,low,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
7,20_UPPER_FACE_LEFT_BROW_NEUTRAL_WRINKLED_02,a508968842ea.png,,1619,760,294,314,600,261,294,314,false,false,LEFT,BROW_L,NEUTRAL,,semantic_alternate,low,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
8,20_UPPER_FACE_LEFT_BROW_NEUTRAL_WRINKLED_03,dc9faa984cec.png,,1622,774,288,291,603,275,288,291,false,false,LEFT,BROW_L,NEUTRAL,,semantic_alternate,low,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
9,20_UPPER_FACE_LEFT_BROW_ARCHED_TALL_01,f5db945447a0.png,,1629,844,255,283,610,345,255,283,false,false,LEFT,BROW_L,ARCHED_TALL,,semantic_exemplar,high,PROHIBITED,Identity-bound Marcus reference; semantic evidence only.
